,bin_size
bin.lorbin_000529.fa,58
bin.lorbin_000530.fa,14
bin.lorbin_000531.fa,2
bin.lorbin_000532.fa,45
bin.lorbin_000533.fa,115
bin.lorbin_000534.fa,82
bin.lorbin_000535.fa,9
bin.lorbin_000536.fa,15
bin.lorbin_000537.fa,90
bin.lorbin_000538.fa,2
bin.lorbin_000539.fa,8
bin.lorbin_000540.fa,1
bin.lorbin_000541.fa,1
bin.lorbin_000542.fa,1
bin.lorbin_000543.fa,8
bin.lorbin_000544.fa,36
bin.lorbin_000545.fa,9
bin.lorbin_000546.fa,79
bin.lorbin_000547.fa,25
bin.lorbin_000548.fa,29
bin.lorbin_000549.fa,62
bin.lorbin_000550.fa,9
bin.lorbin_000551.fa,3
bin.lorbin_000552.fa,66
bin.lorbin_000553.fa,52
bin.lorbin_000554.fa,3
bin.lorbin_000555.fa,32
bin.lorbin_000556.fa,78
bin.lorbin_000557.fa,48
bin.lorbin_000558.fa,3
bin.lorbin_000559.fa,49
bin.lorbin_000560.fa,1
bin.lorbin_000561.fa,2
bin.lorbin_000562.fa,1
bin.lorbin_000563.fa,29
bin.lorbin_000564.fa,2
bin.lorbin_000565.fa,21
bin.lorbin_000566.fa,10
bin.lorbin_000567.fa,22
bin.lorbin_000568.fa,137
bin.lorbin_000569.fa,83
bin.lorbin_000570.fa,40
bin.lorbin_000571.fa,102
bin.lorbin_000572.fa,66
bin.lorbin_000573.fa,32
bin.lorbin_000574.fa,1
bin.lorbin_000575.fa,3
bin.lorbin_000576.fa,3
bin.lorbin_000577.fa,1
bin.lorbin_000578.fa,5
bin.lorbin_000579.fa,52
bin.lorbin_000580.fa,30
bin.lorbin_000581.fa,12
bin.lorbin_000582.fa,1
bin.lorbin_000583.fa,66
bin.lorbin_000584.fa,58
bin.lorbin_000585.fa,123
bin.lorbin_000586.fa,1
bin.lorbin_000587.fa,1
bin.lorbin_000588.fa,1
bin.lorbin_000589.fa,1
bin.lorbin_000590.fa,1
bin.lorbin_000591.fa,1
bin.lorbin_000592.fa,4
bin.lorbin_000593.fa,17
bin.lorbin_000594.fa,9
bin.lorbin_000595.fa,2
bin.lorbin_000596.fa,3
bin.lorbin_000597.fa,6
bin.lorbin_000598.fa,57
bin.lorbin_000599.fa,13
bin.lorbin_000600.fa,171
bin.lorbin_000601.fa,83
bin.lorbin_000028.fa,10
bin.lorbin_000602.fa,43
bin.lorbin_000603.fa,150
bin.lorbin_000604.fa,59
bin.lorbin_000605.fa,29
bin.lorbin_000606.fa,7
bin.lorbin_000607.fa,12
bin.lorbin_000608.fa,4
bin.lorbin_000609.fa,20
bin.lorbin_000610.fa,9
bin.lorbin_000611.fa,19
bin.lorbin_000612.fa,222
bin.lorbin_000613.fa,3
bin.lorbin_000614.fa,8
bin.lorbin_000615.fa,14
bin.lorbin_000616.fa,37
bin.lorbin_000617.fa,10
bin.lorbin_000618.fa,66
bin.lorbin_000619.fa,6
bin.lorbin_000620.fa,26
bin.lorbin_000621.fa,2
bin.lorbin_000622.fa,61
bin.lorbin_000623.fa,80
bin.lorbin_000624.fa,24
bin.lorbin_000625.fa,51
bin.lorbin_000626.fa,11
bin.lorbin_000627.fa,80
bin.lorbin_000628.fa,36
bin.lorbin_000629.fa,7
bin.lorbin_000630.fa,61
bin.lorbin_000631.fa,167
bin.lorbin_000632.fa,1
bin.lorbin_000633.fa,1
bin.lorbin_000634.fa,3
