,bin_size
bin.semibin2_000489.fa,1
bin.semibin2_000490.fa,1
bin.semibin2_000491.fa,1
bin.semibin2_000492.fa,54
bin.semibin2_000493.fa,8
bin.semibin2_000494.fa,31
bin.semibin2_000495.fa,37
bin.semibin2_000496.fa,19
bin.semibin2_000497.fa,6
bin.semibin2_000498.fa,4
bin.semibin2_000499.fa,4
bin.semibin2_000500.fa,16
bin.semibin2_000501.fa,51
bin.semibin2_000502.fa,9
bin.semibin2_000503.fa,3
bin.semibin2_000504.fa,79
bin.semibin2_000505.fa,68
bin.semibin2_000506.fa,80
bin.semibin2_000507.fa,95
bin.semibin2_000508.fa,3
bin.semibin2_000509.fa,64
bin.semibin2_000510.fa,23
bin.semibin2_000511.fa,31
bin.semibin2_000512.fa,33
bin.semibin2_000513.fa,42
bin.semibin2_000514.fa,1
bin.semibin2_000515.fa,25
bin.semibin2_000516.fa,5
bin.semibin2_000517.fa,6
bin.semibin2_000518.fa,29
bin.semibin2_000519.fa,36
bin.semibin2_000520.fa,29
bin.semibin2_000521.fa,1
bin.semibin2_000522.fa,1
bin.semibin2_000523.fa,43
bin.semibin2_000524.fa,10
bin.semibin2_000525.fa,74
bin.semibin2_000527.fa,4
bin.semibin2_000528.fa,112
bin.semibin2_000529.fa,35
bin.semibin2_000530.fa,41
bin.semibin2_000531.fa,23
bin.semibin2_000532.fa,1
bin.semibin2_000533.fa,54
bin.semibin2_000534.fa,4
bin.semibin2_000535.fa,25
bin.semibin2_000536.fa,30
bin.semibin2_000537.fa,13
bin.semibin2_000538.fa,29
bin.semibin2_000539.fa,99
bin.semibin2_000540.fa,50
bin.semibin2_000541.fa,67
bin.semibin2_000542.fa,2
bin.semibin2_000543.fa,1
bin.semibin2_000544.fa,1
bin.semibin2_000545.fa,124
bin.semibin2_000546.fa,43
bin.semibin2_000547.fa,83
bin.semibin2_000548.fa,86
bin.semibin2_000549.fa,2
bin.semibin2_000550.fa,19
bin.semibin2_000551.fa,8
bin.semibin2_000552.fa,24
bin.semibin2_000553.fa,7
bin.semibin2_000554.fa,36
bin.semibin2_000555.fa,132
bin.semibin2_000556.fa,1
bin.semibin2_000557.fa,3
bin.semibin2_000558.fa,1
bin.semibin2_000559.fa,2
bin.semibin2_000560.fa,1
bin.semibin2_000561.fa,50
bin.semibin2_000562.fa,1
bin.semibin2_000563.fa,81
bin.semibin2_000564.fa,1
bin.semibin2_000565.fa,7
bin.semibin2_000566.fa,58
bin.semibin2_000567.fa,56
bin.semibin2_000568.fa,22
bin.semibin2_000569.fa,1
bin.semibin2_000570.fa,62
bin.semibin2_000571.fa,55
bin.semibin2_000572.fa,2
bin.semibin2_000573.fa,1
bin.semibin2_000574.fa,1
bin.semibin2_000575.fa,12
bin.semibin2_000576.fa,162
bin.semibin2_000577.fa,49
bin.semibin2_000578.fa,11
bin.semibin2_000579.fa,9
bin.semibin2_000580.fa,71
bin.semibin2_000581.fa,136
bin.semibin2_000582.fa,43
bin.semibin2_000583.fa,55
bin.semibin2_000584.fa,1
bin.semibin2_000585.fa,35
bin.semibin2_000586.fa,13
bin.semibin2_000587.fa,102
bin.semibin2_000588.fa,77
bin.semibin2_000589.fa,1
bin.semibin2_000590.fa,1
bin.semibin2_000591.fa,1
bin.semibin2_000592.fa,4
bin.semibin2_000593.fa,24
bin.semibin2_000594.fa,2
bin.semibin2_000595.fa,2
bin.semibin2_000596.fa,3
bin.semibin2_000597.fa,4
bin.semibin2_000598.fa,7
bin.semibin2_000599.fa,1
bin.semibin2_000600.fa,6
bin.semibin2_000601.fa,65
bin.semibin2_000602.fa,53
bin.semibin2_000603.fa,8
bin.semibin2_000604.fa,8
bin.semibin2_000605.fa,16
bin.semibin2_000606.fa,60
bin.semibin2_000607.fa,15
bin.semibin2_000608.fa,70
bin.semibin2_000609.fa,21
bin.semibin2_000610.fa,45
bin.semibin2_000611.fa,6
bin.semibin2_000612.fa,4
